run_id,modulation,power_dbm,target_freq_hz,center_hz,center_error_hz,detected_mode,valid,raw_log_path,notes
"FM_120M_-5dBm_run2","FM",-5,120000000,"120000000","0","4","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FM_120M_-5dBm_run2_valid.txt",""
"FM_120M_-5dBm_run3","FM",-5,120000000,"120000000","0","FM","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FM_120M_-5dBm_run3_valid.txt",""
"FM_120M_0dBm_run1","FM",0,120000000,"120000000","0","4","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FM_120M_0dBm_run1_valid.txt",""
"FM_120M_0dBm_run2","FM",0,120000000,"120000000","0","4","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FM_120M_0dBm_run2_valid.txt",""
"FM_120M_0dBm_run3","FM",0,120000000,"120000000","0","FM","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FM_120M_0dBm_run3_valid.txt",""
"ASK_120M_-10dBm_run1","ASK",-10,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_-10dBm_run1_valid.txt",""
"ASK_120M_-10dBm_run2","ASK",-10,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_-10dBm_run2_valid.txt",""
"ASK_120M_-10dBm_run3","ASK",-10,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_-10dBm_run3_reject.txt",""
"ASK_120M_-5dBm_run1","ASK",-5,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_-5dBm_run1_valid.txt",""
"ASK_120M_-5dBm_run2","ASK",-5,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_-5dBm_run2_valid.txt",""
"ASK_120M_-5dBm_run3","ASK",-5,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_-5dBm_run3_valid.txt",""
"ASK_120M_0dBm_run1","ASK",0,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_0dBm_run1_valid.txt",""
"ASK_120M_0dBm_run2","ASK",0,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_0dBm_run2_valid.txt",""
"ASK_120M_0dBm_run3","ASK",0,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\ASK_120M_0dBm_run3_valid.txt",""
"FSK2_120M_-10dBm_run1","FSK2",-10,120000000,"120000000","0","0","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_-10dBm_run1_valid.txt",""
"FSK2_120M_-10dBm_run2","FSK2",-10,120000000,"120100000","100000","0","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_-10dBm_run2_valid.txt",""
"FSK2_120M_-10dBm_run3","FSK2",-10,120000000,"120100000","100000","7","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_-10dBm_run3_valid.txt",""
"FSK2_120M_-5dBm_run1","FSK2",-5,120000000,"120000000","0","4","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_-5dBm_run1_valid.txt",""
"FSK2_120M_-5dBm_run2","FSK2",-5,120000000,"120100000","100000","4","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_-5dBm_run2_valid.txt",""
"FSK2_120M_-5dBm_run3","FSK2",-5,120000000,"120100000","100000","0","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_-5dBm_run3_valid.txt",""
"FSK2_120M_0dBm_run1","FSK2",0,120000000,"120000000","0","4","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_0dBm_run1_valid.txt",""
"FSK2_120M_0dBm_run2","FSK2",0,120000000,"120000000","0","FM","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_0dBm_run2_valid.txt",""
"FSK2_120M_0dBm_run3","FSK2",0,120000000,"120000000","0","4","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\FSK2_120M_0dBm_run3_valid.txt",""
"BPSK_120M_-10dBm_run1","BPSK",-10,120000000,"120000000","0","7","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_-10dBm_run1_valid.txt",""
"BPSK_120M_-10dBm_run2","BPSK",-10,120000000,"120100000","100000","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_-10dBm_run2_valid.txt",""
"BPSK_120M_-10dBm_run3","BPSK",-10,120000000,"120000000","0","7","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_-10dBm_run3_valid.txt",""
"BPSK_120M_-5dBm_run1","BPSK",-5,120000000,"120000000","0","7","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_-5dBm_run1_valid.txt",""
"BPSK_120M_-5dBm_run2","BPSK",-5,120000000,"120000000","0","7","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_-5dBm_run2_valid.txt",""
"BPSK_120M_-5dBm_run3","BPSK",-5,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_-5dBm_run3_reject.txt",""
"BPSK_120M_0dBm_run1","BPSK",0,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_0dBm_run1_valid.txt",""
"BPSK_120M_0dBm_run2","BPSK",0,120000000,"120000000","0","7","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_0dBm_run2_valid.txt",""
"BPSK_120M_0dBm_run3","BPSK",0,120000000,"120000000","0","PSK","True","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_120M_m10_m5_0dBm_perf_retry_20260525_0310\BPSK_120M_0dBm_run3_valid.txt",""
