run_id,modulation,power_dbm,target_freq_hz,center_hz,center_error_hz,detected_mode,valid,raw_log_path,notes
"CW_120M_-20dBm_run1","CW",-20,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-20dBm_run1.txt","dry-run"
"CW_120M_-20dBm_run2","CW",-20,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-20dBm_run2.txt","dry-run"
"CW_120M_-20dBm_run3","CW",-20,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-20dBm_run3.txt","dry-run"
"CW_120M_-15dBm_run1","CW",-15,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-15dBm_run1.txt","dry-run"
"CW_120M_-15dBm_run2","CW",-15,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-15dBm_run2.txt","dry-run"
"CW_120M_-15dBm_run3","CW",-15,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-15dBm_run3.txt","dry-run"
"CW_120M_-10dBm_run1","CW",-10,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-10dBm_run1.txt","dry-run"
"CW_120M_-10dBm_run2","CW",-10,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-10dBm_run2.txt","dry-run"
"CW_120M_-10dBm_run3","CW",-10,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\CW_120M_-10dBm_run3.txt","dry-run"
"AM_120M_-20dBm_run1","AM",-20,120000000,"","","","False","D:\VSCodeCMAKEProject\Simple_wireless_IQ_demodulation\agent_workspace\120MHz_dataset_raw_20260525\AM_120M_-20dBm_run1.txt","dry-run"
