"report_date","source_file","center_hz","modulation_type","modulation_rate_hz","modulation_param","link_type","source_vpp_v","source_dc_v","lo_offset_hz","depth_pm","spectrum_type","harmonic_index","target_freq_hz","measured_freq_hz","measured_bin","magnitude","rel_to_fund_dBc","search_window_hz","search_mode","notes"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","3","30000","30000","60","90184","-49.84","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","4","40000","39500","79","40452","-56.8","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","5","50000","50000","100","33818","-58.36","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","6","60000","59500","119","30440","-59.27","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","7","70000","69500","139","24720","-61.08","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","8","80000","79500","159","18652","-63.53","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","9","90000","90000","180","16574","-64.55","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","10","100000","100500","201","17007","-64.33","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","11","110000","110000","220","16049","-64.83","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","12","120000","120000","240","15110","-65.36","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"","","","AM/ASK/FSK/PSK","","","","","","","","IQ/ENV/PHASE","","","","","","","","","template row 1"
"","","","AM/ASK/FSK/PSK","","","","","","","","IQ/ENV/PHASE","","","","","","","","","template row 2"
"","","","AM/ASK/FSK/PSK","","","","","","","","IQ/ENV/PHASE","","","","","","","","","template row 3"
