"日期","数据源文件","载波频率_Hz","调制类型","调制速率_Hz","调制参数","连接方式","信号源峰峰值_V","信号源直流偏置_V","本振偏置_Hz","包络深度_pm","频谱类型","谐波序号","目标频率_Hz","实测频率_Hz","实测Bin","幅度","实测相位_rad","相对主峰_dBc","搜索窗口_Hz","搜索模式","备注"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","2","20000","20000","40","451701","0.254","-35.84","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","3","30000","30000","60","90184","-2.466","-49.84","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","4","40000","39500","79","40452","0.274","-56.8","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","5","50000","50000","100","33818","0.121","-58.36","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","6","60000","59500","119","30440","0.233","-59.27","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","7","70000","69500","139","24720","0.103","-61.08","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","8","80000","79500","159","18652","0.123","-63.53","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","9","90000","90000","180","16574","0.414","-64.55","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","10","100000","100500","201","17007","0.51","-64.33","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","11","110000","110000","220","16049","0.322","-64.83","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"2026-05-20","serial_export_20260520_160933.txt","120000000","CW","","","wired","1.5","0","10000","36","IQ","12","120000","120000","240","15110","-0.095","-65.36","500","window-peak(+-500Hz)","signal_source=1.5Vpp,dc=0V,carrier=120MHz,CW"
"","","","AM/ASK/FSK/PSK","","","","","","","","IQ/ENV/PHASE","","","","","","","","","","template row 1"
"","","","AM/ASK/FSK/PSK","","","","","","","","IQ/ENV/PHASE","","","","","","","","","","template row 2"
"","","","AM/ASK/FSK/PSK","","","","","","","","IQ/ENV/PHASE","","","","","","","","","","template row 3"
