case_id,scenario,profile,snr_db,mod_a,mod_b,freq_step_hz,has_change,triggered,valid_detection,false_alarm,miss,late_detection,latency_ms,trigger_score,trigger_reason
54,freq_mod_switch,ideal,20.0,ASK,FM,20000.0,True,True,False,True,False,False,-8.0,2,6
55,freq_mod_switch,ideal,20.0,ASK,FM,50000.0,True,True,False,True,False,False,-8.0,2,6
56,mod_switch_same_freq,ideal,20.0,ASK,FSK,0.0,True,True,False,True,False,False,-8.0,2,6
57,freq_mod_switch,ideal,20.0,ASK,FSK,10000.0,True,True,False,True,False,False,-8.0,2,6
58,freq_mod_switch,ideal,20.0,ASK,FSK,-10000.0,True,True,False,True,False,False,-8.0,2,6
59,freq_mod_switch,ideal,20.0,ASK,FSK,20000.0,True,True,False,True,False,False,-8.0,2,6
60,freq_mod_switch,ideal,20.0,ASK,FSK,50000.0,True,True,False,True,False,False,-8.0,2,6
61,mod_switch_same_freq,ideal,20.0,ASK,PSK,0.0,True,True,False,True,False,False,-8.0,2,6
62,freq_mod_switch,ideal,20.0,ASK,PSK,10000.0,True,True,False,True,False,False,-8.0,2,6
63,freq_mod_switch,ideal,20.0,ASK,PSK,-10000.0,True,True,False,True,False,False,-8.0,2,6
64,freq_mod_switch,ideal,20.0,ASK,PSK,20000.0,True,True,False,True,False,False,-8.0,2,6
65,freq_mod_switch,ideal,20.0,ASK,PSK,50000.0,True,True,False,True,False,False,-8.0,2,6
66,mod_switch_same_freq,ideal,20.0,FSK,AM,0.0,True,True,True,False,False,False,4.0,3,28
67,freq_mod_switch,ideal,20.0,FSK,AM,10000.0,True,True,True,False,False,False,4.0,3,28
68,freq_mod_switch,ideal,20.0,FSK,AM,-10000.0,True,True,True,False,False,False,4.0,3,28
69,freq_mod_switch,ideal,20.0,FSK,AM,20000.0,True,True,True,False,False,False,4.0,3,28
70,freq_mod_switch,ideal,20.0,FSK,AM,50000.0,True,True,True,False,False,False,4.0,3,28
71,mod_switch_same_freq,ideal,20.0,FSK,FM,0.0,True,True,True,False,False,False,4.0,2,24
72,freq_mod_switch,ideal,20.0,FSK,FM,10000.0,True,True,True,False,False,False,4.0,2,24
73,freq_mod_switch,ideal,20.0,FSK,FM,-10000.0,True,True,True,False,False,False,4.0,2,24
74,freq_mod_switch,ideal,20.0,FSK,FM,20000.0,True,True,True,False,False,False,4.0,2,24
75,freq_mod_switch,ideal,20.0,FSK,FM,50000.0,True,True,True,False,False,False,4.0,2,24
76,mod_switch_same_freq,ideal,20.0,FSK,ASK,0.0,True,True,True,False,False,False,4.0,3,14
77,freq_mod_switch,ideal,20.0,FSK,ASK,10000.0,True,True,True,False,False,False,4.0,3,14
78,freq_mod_switch,ideal,20.0,FSK,ASK,-10000.0,True,True,True,False,False,False,4.0,2,6
79,freq_mod_switch,ideal,20.0,FSK,ASK,20000.0,True,True,True,False,False,False,4.0,2,6
80,freq_mod_switch,ideal,20.0,FSK,ASK,50000.0,True,True,True,False,False,False,4.0,3,14
81,mod_switch_same_freq,ideal,20.0,FSK,PSK,0.0,True,True,True,False,False,False,18.000000000000004,2,24
82,freq_mod_switch,ideal,20.0,FSK,PSK,10000.0,True,True,True,False,False,False,18.000000000000004,2,24
83,freq_mod_switch,ideal,20.0,FSK,PSK,-10000.0,True,False,False,False,True,False,nan,0,0
